Region,Local_date,Time zone,DF,D,NG,TI,Sum (NG),NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,Sum (Trade),Sum (Imports),Sum (Exports),CAN,MEX,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,Positive Gen from COL,Positive Gen from NG,Positive Gen from OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
US48,22Aug2015,Eastern,"10,741,078","10,847,705","10,619,842","-177,595",,,,,,,,,,,"-176,024","177,887","1,863","-177,091","1,067",,,,,,,,,,,,,,,,,,
US48,23Aug2015,Eastern,"10,595,396","10,718,895","10,479,738","-186,508",,,,,,,,,,,"-168,053","168,976",923,"-168,403",350,,,,,,,,,,,,,,,,,,
US48,24Aug2015,Eastern,"11,446,764","11,657,128","11,400,016","-190,550",,,,,,,,,,,"-177,653","179,956","2,303","-179,133","1,480",,,,,,,,,,,,,,,,,,
US48,25Aug2015,Eastern,"11,341,120","11,481,713","11,226,272","-206,245",,,,,,,,,,,"-172,740","174,640","1,900","-173,763","1,023",,,,,,,,,,,,,,,,,,
US48,26Aug2015,Eastern,"11,168,939","11,196,865","10,930,083","-214,128",,,,,,,,,,,"-163,363","164,674","1,311","-164,317",954,,,,,,,,,,,,,,,,,,
US48,27Aug2015,Eastern,"11,128,357","11,078,336","10,857,213","-177,955",,,,,,,,,,,"-156,966","160,183","3,217","-160,161","3,195",,,,,,,,,,,,,,,,,,
US48,28Aug2015,Eastern,"11,139,102","11,815,373","11,614,386","-165,911",,,,,,,,,,,"-164,355","168,450","4,095","-168,282","3,927",,,,,,,,,,,,,,,,,,
US48,29Aug2015,Eastern,"11,203,675","11,328,474","11,158,102","-104,523",,,,,,,,,,,"-135,573","137,670","2,097","-137,654","2,081",,,,,,,,,,,,,,,,,,
US48,30Aug2015,Eastern,"11,225,656","11,273,323","11,102,022","-86,378",,,,,,,,,,,"-139,915","140,790",875,"-140,621",706,,,,,,,,,,,,,,,,,,
US48,31Aug2015,Eastern,"12,437,338","12,617,375","12,409,985","-143,607",,,,,,,,,,,"-170,019","173,138","3,119","-171,022","1,003",,,,,,,,,,,,,,,,,,
US48,01Sep2015,Eastern,"12,805,179","13,003,970","12,813,593","-136,025",,,,,,,,,,,"-177,380","181,021","3,641","-178,543","1,163",,,,,,,,,,,,,,,,,,
US48,02Sep2015,Eastern,"12,930,071","13,140,980","12,971,402","-91,896",,,,,,,,,,,"-157,900","161,121","3,221","-159,091","1,191",,,,,,,,,,,,,,,,,,
US48,03Sep2015,Eastern,"12,952,572","13,117,909","12,949,011","-128,098",,,,,,,,,,,"-158,033","159,044","1,011","-158,359",326,,,,,,,,,,,,,,,,,,
US48,04Sep2015,Eastern,"12,611,891","12,764,573","12,563,099","-147,370",,,,,,,,,,,"-171,083","171,616",533,"-170,964",-119,,,,,,,,,,,,,,,,,,
US48,05Sep2015,Eastern,"11,661,554","11,678,256","11,499,490","-98,297",,,,,,,,,,,"-150,890","152,276","1,386","-152,220","1,330",,,,,,,,,,,,,,,,,,
US48,06Sep2015,Eastern,"11,357,257","11,496,294","11,302,937","-110,930",,,,,,,,,,,"-149,920","150,953","1,033","-150,574",654,,,,,,,,,,,,,,,,,,
US48,07Sep2015,Eastern,"11,822,880","11,896,796","11,662,403","-128,867",,,,,,,,,,,"-167,436","169,976","2,540","-169,728","2,292",,,,,,,,,,,,,,,,,,
US48,08Sep2015,Eastern,"12,645,595","13,011,004","12,800,777","-154,075",,,,,,,,,,,"-166,030","168,329","2,299","-168,300","2,270",,,,,,,,,,,,,,,,,,
